Tipo,Operación,Precio,Administración,Niveles,Habitaciones,Baños,Parqueaderos,Área Construida,Área Lote,Barrio,Estrato,Ciudad
Apartamento,Arriendo,2350000.0,683000.0,3.0,2.0,2.0,1.0,67.0,67.0,Nuevo Country-Usaquén,5.0,Bogotá
Apartamento,Venta,140000000.0,,2.0,3.0,2.0,0.0,7626.0,0.0,Campo Amor,3.0,Pamplona
Casa,Arriendo,2650000.0,,0.0,1.0,2.0,3.0,90.0,1000.0,la cumbre,3.0,Cajicá
Oficina,Venta,6500000000.0,7050000.0,0.0,0.0,0.0,7.0,316.0,0.0,Santa Barbara-Usaquén,6.0,Bogotá
Casa,Arriendo,2700000.0,,2.0,3.0,2.0,1.0,90.0,0.0,Chía,3.0,Chía
Apartamento,Venta,432000000.0,822100.0,3.0,1.0,2.0,1.0,56.0,56.0,El Chico,6.0,Bogotá
Apartaestudio,Arriendo,2105000.0,255000.0,5.0,1.0,1.0,0.0,1711.0,0.0,Santa Barbara Occidental-Usaquén,6.0,Bogotá
Apartamento,Arriendo,1600000.0,318700.0,2.0,2.0,1.0,0.0,47.0,47.0,PRADO PINZÓN,3.0,Bogotá
Apartamento,Venta,250000000.0,161000.0,19.0,2.0,1.0,0.0,42.0,0.0,Villemar,3.0,Bogotá
,,,,,,,,,,,,
Apartamento,Arriendo,3730000.0,241400.0,0.0,3.0,2.0,1.0,72.0,72.0,Modelia,3.0,Bogotá
Apartamento,Arriendo,1525000.0,,4.0,3.0,2.0,0.0,44.0,44.0,MANDALAY,3.0,Bogotá
Apartaestudio,Arriendo,650000.0,,1.0,1.0,1.0,0.0,50.0,50.0,La Cabrera,2.0,Cúcuta
Local,Arriendo,8400000.0,,0.0,0.0,2.0,1.0,297.0,297.0,Caobos,3.0,Cúcuta
Apartamento,Venta,300000000.0,160000.0,0.0,3.0,2.0,1.0,6821.0,6821.0,Prados del Este,3.0,Cúcuta
Casa,Arriendo,750000.0,,0.0,3.0,1.0,0.0,91.0,91.0,Atalaya etapa 1,3.0,Cúcuta
Casa,Venta,340000000.0,184000.0,0.0,3.0,2.0,2.0,112.0,112.0,Prados Del Este,4.0,Cúcuta
Apartamento,Arriendo,1304000.0,96000.0,5.0,3.0,1.0,0.0,50.0,50.0,Techo,3.0,Bogotá
Casa,Venta,720000000.0,,0.0,3.0,2.0,1.0,118.0,0.0,Andes Norte,4.0,Bogotá
Casa,Venta,320000000.0,120000.0,0.0,3.0,2.0,1.0,113.0,113.0,Av. Libertadores,4.0,Cúcuta
Oficina,Arriendo,2250000.0,,3.0,0.0,2.0,0.0,90.0,90.0,GALERIAS,4.0,Bogotá
Casa,Venta,390000000.0,393000.0,3.0,3.0,3.0,1.0,85.0,103.0,Avenida Pradilla,4.0,Chía
Apartamento,Venta,145000000.0,112000.0,0.0,3.0,2.0,0.0,48.0,48.0,Bocono,3.0,Cúcuta
Apartamento,Arriendo,5200000.0,,3.0,1.0,2.0,1.0,50.0,0.0,El Virrey,5.0,Bogotá
Casa,Venta,210000000.0,270000.0,0.0,3.0,2.0,2.0,70.0,70.0,Chinácota,3.0,Chinácota
,,,,,,,,,,,,
Local,Arriendo,2400000.0,472000.0,0.0,0.0,1.0,0.0,58.0,58.0,BATAN,5.0,Bogotá
Apartamento,Venta,240000000.0,237509.0,0.0,3.0,2.0,1.0,617.0,617.0,San Luis,3.0,Cúcuta
Casa,Arriendo,6200000.0,,0.0,7.0,6.0,0.0,287.0,0.0,Bonanza,4.0,Bogotá
Bodega,Venta,480000000.0,,0.0,1.0,2.0,0.0,300.0,19765.0,San Isidro,1.0,San cayetano
Apartamento,Venta,300000000.0,207000.0,0.0,3.0,3.0,1.0,84.0,84.0,Prados Del Este,3.0,Cúcuta
Apartamento,Arriendo,2730000.0,156600.0,0.0,2.0,2.0,0.0,52.0,52.0,Palermo-Teusaquillo,3.0,Bogotá
Apartamento,Venta,300000000.0,207000.0,0.0,3.0,3.0,1.0,84.0,84.0,PRADOS DEL ESTE,3.0,Cúcuta
Local,Arriendo/venta,3000000550000000.0,,0.0,0.0,1.0,0.0,82.0,82.0,Niza,5.0,Bogotá
,,,,,,,,,,,,
Casa campestre,Arriendo,3000000.0,,0.0,4.0,3.0,5.0,300.0,600.0,VEREDA CHITACOMAR,4.0,Chinácota
